work_province,age,gender,work_title,work_type,work_contract_type,work_mode,years_experience,years_in_company,years_in_position,people_in_charge,company_size,office_days_number(hybrid),work_place_satisfaction,work_place_benefits,last_month_gross_salary,last_month_net_salary,salary_in_usd,salary_has_bonus,salary_bonus_tied_to,salary_satisfaction,platforms,programming_languages,frameworks,databases,qa_testing_tools,AI_tools_use,highest_level_studies,status,degree/specialization,university/school
Chaco,25,Varón Cis,Developer,Full-Time,Contractor,100% remoto,1.0,2.0,1.0,0,De 11  a 50  personas,0,9,"Capacitaciones y/o cursos, Clases de idiomas, Descuento en cine",345000.0,33000.0,Cobro todo el salario en dólares,No,No recibo bono,3,"Docker, Linux",PHP,Laravel,MySQL,PHPUnit,4,Secundario,Completo,Prefiero no responder,Prefiero no responder
Chaco,26,Varón Cis,QA / Tester,Full-Time,Staff (planta permanente),100% remoto,3.0,3.0,3.0,1,Más de 10000 personas,0,7,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Lactario en la oficina, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Stock options / RSUs",403637.0,331992.0,Cobro parte del salario en dólares,No,No recibo bono,2,"Google Cloud Platform, Linux","Groovy, Java, Javascript",React.js,Ninguna de las anteriores,"Cucumber, JUnit, Postman, WebdriverIO",4,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,44,Varón Cis,SysAdmin,Full-Time,Staff (planta permanente),Híbrido (presencial y remoto),20.0,18.0,2.0,3,De 1001 a 2000 personas,3,7,Stock options / RSUs,500000.0,450.0,No cobro mi salario en dolares,No,No recibo bono,2,"Linux, SAP, Windows Server","Bash/Shell, Python, SQL",SAP,"MariaDB, Microsoft SQL Server, MySQL",Ninguna de las anteriores,3,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,28,Varón Cis,Developer,Full-Time,Staff (planta permanente),100% remoto,3.0,0.0,3.0,1,De 11  a 50  personas,0,7,"Capacitaciones y/o cursos, Clases de idiomas",533000.0,450000.0,No cobro mi salario en dolares,Menos de un sueldo,Performance de la compañía,2,Docker,"Java, Javascript, TypeScript","Next.js, Node.js, React.js, Vue.js",MySQL,Ninguna de las anteriores,4,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,38,Varón Cis,Developer,Full-Time,Staff (planta permanente),100% remoto,16.0,1.0,1.0,0,De 11  a 50  personas,0,8,"Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles",310000.0,292000.0,No cobro mi salario en dolares,No,No recibo bono,3,Docker,GENEXUS,Ninguno de los anteriores,"Microsoft SQL Server, PostgreSQL",Postman,1,Universitario,Incompleto,Ingenieria en Sistemas,UTN - Universidad Tecnológica Nacional
Chaco,33,Varón Cis,DevOps Engineer,Full-Time,Staff (planta permanente),100% remoto,5.0,0.0,0.0,0,Más de 10000 personas,0,10,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles",800000.0,650000.0,No cobro mi salario en dolares,Un sueldo,Mix de las anteriores,3,"Amazon Web Services, Azure, Docker, Kubernetes, Linux, Windows Server",Bash/Shell,.NET Core,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, PostgreSQL",Ninguna de las anteriores,3,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,44,Varón Cis,Data Engineer,Full-Time,Staff (planta permanente),100% remoto,0.0,0.0,0.0,0,Más de 10000 personas,0,10,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Cuota para universidad / posgrados, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Lactario en la oficina, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",490476.0,408096.0,No cobro mi salario en dolares,De uno a tres sueldos,Mix de las anteriores,3,"Amazon Web Services, Docker, Linux, Serverless","Bash/Shell, Python, SQL",Spark,"Amazon DynamoDB, Amazon Redshift, Microsoft SQL Server, PostgreSQL","Postman, Pytest",0,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,28,Prefiero no decir,BI Analyst / Data Analyst,Full-Time,Staff (planta permanente),100% remoto,0.0,0.0,0.0,0,De 51 a 100 personas,0,10,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas",288000.0,239040.0,No cobro mi salario en dolares,No,No recibo bono,3,"Amazon Web Services, Google Cloud Platform","Python, SQL",Ninguno de los anteriores,MySQL,Ninguna de las anteriores,5,Universitario,En curso,Licenciatura en Administración,UNNNE - Universidad Nacional del Nordeste
Chaco,41,Varón Cis,Developer,Full-Time,Staff (planta permanente),100% remoto,8.0,2.0,2.0,0,De 501 a 1000 personas,0,9,"Abono de Internet, Clases de idiomas",297124.0,254086.0,Mi sueldo está dolarizado (pero cobro en moneda local),No,No recibo bono,3,Ninguna de las anteriores,".NET, C#, SQL, VBA",.NET Core,Microsoft SQL Server,Ninguna de las anteriores,1,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,36,Varón Cis,Developer,Full-Time,Staff (planta permanente),100% presencial,14.0,12.0,12.0,4,De 201 a 500 personas,0,0,Capacitaciones y/o cursos,432000.0,346000.0,No cobro mi salario en dolares,No,No recibo bono,2,"Linux, Windows Server",".NET, C#, CSS, HTML, SQL",".NET Core, Bootstrap","Microsoft SQL Server, PostgreSQL","Selenium, Xunit",3,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,38,Mujer Cis,DevOps Engineer,Full-Time,Staff (planta permanente),100% remoto,2.0,2.0,2.0,0,De 1001 a 2000 personas,0,7,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería",530000.0,460000.0,Cobro parte del salario en dólares,De uno a tres sueldos,Performance individual,3,"Amazon Web Services, Kubernetes, Linux","Go, Python",Ninguno de los anteriores,"Amazon DynamoDB, Amazon Redshift, Amazon RDS/Aurora, Oracle",Ninguna de las anteriores,1,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,28,Varón Cis,QA / Tester,Full-Time,Staff (planta permanente),100% remoto,2.0,2.0,2.0,0,De 11  a 50  personas,0,4,"Abono de Internet, Capacitaciones y/o cursos, Horarios flexibles",270000.0,203000.0,No cobro mi salario en dolares,No,No recibo bono,2,Ninguna de las anteriores,"C, Java, Javascript",Ninguno de los anteriores,MySQL,"Cucumber, Cypress, Lippia",0,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,28,Varón Cis,Developer,Part-Time,Contractor,100% presencial,2.0,0.0,0.0,0,De 1001 a 2000 personas,0,5,Horarios flexibles,120000.0,112000.0,No cobro mi salario en dolares,No,No recibo bono,3,"Docker, Linux","HTML, Python, SQL",Django,PostgreSQL,Ninguna de las anteriores,4,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,29,Mujer Cis,QA / Tester,Full-Time,Staff (planta permanente),100% remoto,4.0,1.4,1.4,0,De 1001 a 2000 personas,0,7,"Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",670000.0,455000.0,Cobro parte del salario en dólares,Menos de un sueldo,Performance individual,3,Amazon Web Services,"Python, SQL",pytest,"Amazon DynamoDB, RDS, BQuery","Appium, Postman, Selenium",0,Universitario,Completo,Ingenieria en Sistemas,UTN - Universidad Tecnológica Nacional
Chaco,32,normal,Developer,Full-Time,Staff (planta permanente),100% remoto,1.0,1.0,1.0,0,De 501 a 1000 personas,0,10,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",225.0,189.0,Mi sueldo está dolarizado (pero cobro en moneda local),Menos de un sueldo,Gastos conectividad,4,Sharepoint,".NET, C#, CSS, HTML, Javascript, SQL",".NET Core, Angular",Microsoft SQL Server,Ninguna de las anteriores,1,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,34,Varón Cis,HelpDesk,Full-Time,Tercerizado (trabajo a través de consultora o agencia),100% presencial,0.0,0.0,0.0,0,De 2 a 10 personas,0,7,Ninguna de las anteriores,204.105,192521.0,No cobro mi salario en dolares,No,No recibo bono,2,Windows 7/10/11,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,0,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,27,Varón Cis,Developer,Full-Time,Staff (planta permanente),100% remoto,3.5,0.0,4.0,0,De 5001 a 10000 personas,0,7,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Lactario en la oficina, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",660000.0,520000.0,Mi sueldo está dolarizado (pero cobro en moneda local),Un sueldo,Mix de las anteriores,3,"Amazon Web Services, Docker, Kubernetes, Serverless","Bash/Shell, Groovy, Javascript, PHP, TypeScript","Node.js, Spring","Amazon DynamoDB, Amazon RDS/Aurora, ElasticSearch, MariaDB, MongoDB, MySQL, PostgreSQL, Redis","Jest, JUnit, Postman",0,Universitario,En curso,Ingenieria en Sistemas,UTN - Universidad Tecnológica Nacional
Chaco,24,Varón Cis,Developer,Full-Time,Contractor,100% remoto,2.0,2.0,2.0,0,De 11  a 50  personas,0,7,Horarios flexibles,336150.0,300000.0,Cobro todo el salario en dólares,De uno a tres sueldos,Performance individual,3,"Docker, Linux","CSS, HTML, Javascript, PHP, SQL","Laravel, React.js, Vue.js","MariaDB, MySQL, Redis","PHPUnit, Postman, Pest, K6",2,Universitario,En curso,Ingenieria en Sistemas,UTN - Universidad Tecnológica Nacional
